City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Petropavlovsk-Kamchatskiy,90,RU,1619894927,100,53.0452,158.6483,32.0,1.74
Christchurch,0,NZ,1619894571,100,-43.5333,172.6333,30.2,2.3
Vila Franca do Campo,75,PT,1619894635,88,37.7167,-25.4333,60.8,10.36
Barrow,90,US,1619894464,86,71.2906,-156.7887,21.2,10.36
Los Pozos,100,VE,1619894928,43,8.4518,-62.7268,90.5,11.16
Port Alfred,0,ZA,1619894501,68,-33.5906,26.891,61.95,3.38
San Patricio,90,US,1619894510,94,28.017,-97.5169,75.99,11.5
Muisne,75,EC,1619894928,83,0.6,-80.0333,80.6,6.91
Mataura,5,NZ,1619894492,86,-46.1927,168.8643,48.0,1.01
Castro,91,BR,1619894512,68,-24.7911,-50.0119,68.52,2.08
Orhei,0,MD,1619894929,72,47.3831,28.8231,66.2,3.44
Chiredzi,100,ZW,1619894929,72,-21.05,31.6667,66.81,8.99
Darhan,98,MN,1619894929,82,49.4867,105.9228,43.23,12.59
Kruisfontein,0,ZA,1619894516,84,-34.0033,24.7314,53.01,1.01
Port Keats,0,AU,1619894930,58,-14.25,129.55,72.86,5.88
Leningradskiy,100,RU,1619894566,87,69.3833,178.4167,15.12,21.14
Biak,93,ID,1619894930,85,-0.9131,122.8766,76.42,4.34
Samarai,48,PG,1619894513,81,-10.6167,150.6667,79.95,10.36
Salta,0,AR,1619894931,43,-24.7859,-65.4117,73.99,3.44
Punta Arenas,20,CL,1619894463,66,-53.15,-70.9167,46.4,8.05
Yulara,28,AU,1619894502,44,-25.2406,130.9889,57.2,8.05
Tuktoyaktuk,90,CA,1619894360,92,69.4541,-133.0374,14.0,8.05
Tselinnoye,100,RU,1619894931,71,53.0833,85.6667,39.36,11.92
Tawao,20,MY,1619894931,100,4.2498,117.8871,75.2,1.14
Butaritari,99,KI,1619894511,76,3.0707,172.7902,82.63,11.81
New Norfolk,100,AU,1619894503,62,-42.7826,147.0587,55.0,2.86
Hermanus,98,ZA,1619894331,76,-34.4187,19.2345,59.0,1.99
Sittwe,0,MM,1619894532,76,20.15,92.9,81.16,5.44
Bluff,15,NZ,1619894505,86,-46.6,168.3333,48.0,1.01
Ushuaia,20,AR,1619894458,65,-54.8,-68.3,44.6,4.61
Longyearbyen,20,SJ,1619894494,68,78.2186,15.6401,19.4,10.36
